"CASEID","D104","D108","D111","V012","V024","V025","V131","V149","V136","V190","V155","S119"
"      002902001  1",NA,NA,NA,33,1,2,9,3,2,1,2,9
"      002902201  2",0,0,0,49,1,2,9,0,7,1,0,9
"      002902201  3",NA,NA,NA,18,1,2,9,2,7,1,1,9
"      002902201  5",NA,NA,NA,22,1,2,9,3,7,1,2,9
"      002902301  2",1,0,0,27,1,2,9,1,6,1,1,9
"      002902501  1",NA,NA,NA,24,1,2,9,3,3,1,2,9
"      002908401  2",0,0,1,27,1,2,9,3,7,1,2,9
"      002908501  2",0,0,0,30,1,2,9,3,7,1,2,9
"      002908501  3",NA,NA,NA,13,1,2,9,3,7,1,2,9
"      002908701  2",0,1,0,30,1,2,9,4,4,2,2,9
"      002908701  4",NA,NA,NA,12,1,2,9,2,4,2,1,9
"      003001301  2",0,0,0,18,1,2,4,3,3,1,2,4
"      003001401  2",NA,NA,NA,37,1,2,4,2,8,1,2,4
"      003001401  4",NA,NA,NA,14,1,2,4,3,8,1,2,4
"      003001501  2",1,1,1,44,1,2,4,2,3,1,1,4
"      003001601  2",1,0,1,33,1,2,4,3,5,1,2,4
"      003014001  3",NA,NA,NA,23,1,2,4,3,6,1,2,4
"      003014001  5",NA,NA,NA,21,1,2,4,2,6,1,1,4
"      003014401  2",0,0,0,18,1,2,4,2,4,1,2,4
"      003014601  2",1,0,0,23,1,2,4,3,5,1,2,4
"      003017301  2",0,0,0,33,1,2,10,3,5,1,2,4
"      003017401  2",1,0,1,33,1,2,10,1,4,1,1,4
"      003017601  3",0,0,0,32,1,2,10,4,8,1,2,10
"      003017601  5",NA,NA,NA,13,1,2,10,3,8,1,2,10
"      003017701  1",1,0,0,28,1,2,10,2,6,1,2,10
"      003100201  2",0,0,0,18,1,2,4,4,3,1,2,4
"      003100301  2",0,0,1,41,1,2,4,1,5,1,1,4
"      003100401  2",1,0,0,27,1,2,4,2,6,1,2,4
"      003101601  2",0,0,0,31,1,2,4,1,8,1,0,4
"      003101601  3",NA,NA,NA,13,1,2,4,3,8,1,2,4
"      003101701  2",0,0,0,32,1,2,4,2,5,1,1,4
"      003101801  2",0,0,0,17,1,2,4,3,3,1,2,4
"      003102001  2",0,0,0,22,1,2,4,2,4,1,1,4
"      003116201  2",NA,NA,NA,47,1,2,4,1,6,1,0,4
"      003116201  3",NA,NA,NA,16,1,2,4,3,6,1,2,4
"      003116201  4",NA,NA,NA,14,1,2,4,2,6,1,2,4
"      003116301  2",0,0,0,23,1,2,4,2,3,1,1,4
"      003116401  2",0,0,0,25,1,2,4,3,3,1,2,4
"      003117301  2",NA,NA,NA,39,1,2,4,3,10,1,2,4
"      003117301  3",NA,NA,NA,17,1,2,4,3,10,1,2,4
